JU2872	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
JU2910	0.000012	0.000010	0.999968	0.000010	LD_0.9_4_1230
JU3168	0.946660	0.000010	0.025795	0.027535	LD_0.9_4_1230
JU3171	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU3199	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
JU3200	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
JU3201	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
JU3202	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
JU3203	0.000010	0.000017	0.000010	0.999963	LD_0.9_4_1230
JU3206	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
JU3207	0.000010	0.000012	0.999968	0.000010	LD_0.9_4_1230
JU3237	0.223779	0.000010	0.776201	0.000010	LD_0.9_4_1230
JU3281	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU3319	0.000011	0.003085	0.996894	0.000010	LD_0.9_4_1230
JU3321	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU3326	0.921683	0.027071	0.043978	0.007268	LD_0.9_4_1230
JU3327	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU3416	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
JU4042	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU4051	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU4058	0.010931	0.230671	0.758389	0.000010	LD_0.9_4_1230
JU4060	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU4062	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU4064	0.000010	0.000019	0.999961	0.000010	LD_0.9_4_1230
JU4080	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU4084	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
JU4097	0.000010	0.000015	0.999965	0.000010	LD_0.9_4_1230
JU725	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
MY2716	0.000019	0.000015	0.999956	0.000010	LD_0.9_4_1230
MY539	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1050	0.000017	0.000013	0.999961	0.000010	LD_0.9_4_1230
NIC1052	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1054	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1055	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1057	0.000011	0.000010	0.999969	0.000010	LD_0.9_4_1230
NIC1058	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1059	0.000018	0.000010	0.999962	0.000010	LD_0.9_4_1230
NIC1060	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1062	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1069	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1103	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1104	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1106	0.000015	0.000012	0.999963	0.000010	LD_0.9_4_1230
NIC1117	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1123	0.142517	0.000010	0.857463	0.000010	LD_0.9_4_1230
NIC1124	0.000010	0.000018	0.999962	0.000010	LD_0.9_4_1230
NIC1135	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1138	0.000010	0.000012	0.999968	0.000010	LD_0.9_4_1230
NIC1141	0.000010	0.000012	0.999968	0.000010	LD_0.9_4_1230
NIC115	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC117	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1183	0.000010	0.000012	0.999968	0.000010	LD_0.9_4_1230
NIC119	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1190	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1202	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1204	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1205	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
NIC1218	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1220	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
NIC1221	0.000017	0.000010	0.999963	0.000010	LD_0.9_4_1230
NIC123	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1267	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1283	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1288	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1292	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1302	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1304	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1308	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1407	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1421	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1423	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
NIC1442	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
