BRC20105	0.000010	0.000010	0.000010	0.000010	0.000010	0.099173	0.000010	0.000010	0.001945	0.000010	0.000010	0.000010	0.000010	0.000010	0.802616	0.000010	0.000010	0.000010	0.000010	0.096065	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20107	0.000010	0.000010	0.000010	0.000010	0.000010	0.127815	0.000010	0.000010	0.000010	0.000010	0.000010	0.050821	0.000010	0.000013	0.754676	0.000010	0.000010	0.000010	0.000010	0.066484	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20115	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000013	0.000010	0.000010	0.000010	0.000015	0.000010	0.000010	0.999754	0.000010	0.000010	0.000010	0.000019	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20119	0.000010	0.000010	0.000010	0.029471	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.719827	0.000010	0.000010	0.000010	0.000010	0.000010	0.250492	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20228	0.000010	0.000010	0.000010	0.999764	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000011	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000015	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20229	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20230	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000014	0.000010	0.999764	0.000010	0.000010	0.000012	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20232	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20238	0.000010	0.000013	0.000011	0.000017	0.000010	0.000010	0.000010	0.000012	0.000010	0.000010	0.000010	0.000010	0.000010	0.000012	0.000011	0.000010	0.000010	0.999753	0.000010	0.000011	0.000010	0.000010	0.000011	0.000010	LD_0.9_24_1230
BRC20239	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20241	0.000010	0.000010	0.000017	0.865202	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000011	0.000010	0.000010	0.067293	0.000017	0.000010	0.000010	0.000010	0.000010	0.067280	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20242	0.000010	0.000010	0.000010	0.915837	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.083943	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20244	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20246	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000011	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000013	0.000010	0.999765	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
