samples	cluster	lat	long	geo	Lineage
NIC96	T	4.08747	-52.67394	South America	Tropical
NIC1491	T	4.087902037	-52.67994803	South America	Tropical
BRC20073	U	25.04655556	121.6149472	Taiwan	Tropical
BRC20089	U	25.15533333	121.5465611	Taiwan	Tropical
BRC20093	U	23.94991389	121.5518917	Taiwan	Tropical
BRC20095	U	24.74725	121.746266	Taiwan	Tropical
BRC20096	U	25.04372222	121.6160639	Taiwan	Tropical
BRC20098	U	25.04372222	121.6160639	Taiwan	Tropical
BRC20102	U	24.336532	120.607411	Taiwan	Tropical
BRC20228	U	23.572084	120.900213	Taiwan	Tropical
BRC20260	U	23.600208	120.883767	Taiwan	Tropical
BRC20401	U	25.017012	121.557477	Taiwan	Tropical
BRC20556	U	24.822538	121.73566	Taiwan	Tropical
ECA2667	U	-26.36741111	152.5852889	Australia	Tropical
ED3032	U	25.158056	121.515831	Taiwan	Tropical
ED3037	U	25.123667	121.532982	Taiwan	Tropical
GXW22	U	23.15	113.35	Asia	Tropical
JU3281	U	50.0711	14.42028	Europe	Tropical
NIC1117	U	-12.837789	-71.365833	South America	Tropical
NIC1628	U	25.02113	121.58315	Taiwan	Tropical
NIC790	U	23.83645	120.7249	Taiwan	Tropical
NIC793	U	23.83631	120.72486	Taiwan	Tropical
NIC795	U	23.83617	120.72563	Taiwan	Tropical
NIC796	U	23.83617	120.72563	Taiwan	Tropical
NIC802	U	23.83701	120.72771	Taiwan	Tropical
QG4847	U	6.9204	158.2633	Pacific	Tropical
QG2814	U	-30.6445167	153.0090333	Australia	Tropical
ECA1431	U	22.063133	-159.347149	Hawaii	Tropical
ECA2636	U	-26.3674836	152.5852451	Australia	Tropical
EG6276	V	-23.5	-46.7	South America	Tropical
HPT16	V	-7.822561	112.5870957	Pacific	Tropical
HPT2	V	-7.800708	112.515721	Pacific	Tropical
HPT42	V	-5.252889	119.865139	Pacific	Tropical
HPT8	V	-7.80504	112.51691	Pacific	Tropical
JU1347	V	9.6	77.13	Asia	Tropical
JU1375	V	-21.0469	55.6885	Africa	Tropical
JU1377	V	-21.0476	55.6905	Africa	Tropical
JU1378	V	-21.0478	55.6878	Africa	Tropical
JU1392	V	-22.916	-43.173	South America	Tropical
JU1435	V	-21.05	55.27	Africa	Tropical
JU2472	V	-12.732834	45.186209	Africa	Tropical
NIC1525	V	-17.088793	49.827329	Africa	Tropical
NIC1528	V	-16.755721	49.99665	Africa	Tropical
NIC1529	V	-16.755873	49.996516	Africa	Tropical
NIC1533	V	-16.75706	49.993077	Africa	Tropical
NIC1535	V	-17.088793	49.827329	Africa	Tropical
VSL2210	V	12.36923	75.90115	Asia	Tropical
VSL2212	V	12.3829	75.9013	Asia	Tropical
XZ1213	V	-23.571	-46.647	South America	Tropical
XZ1732	V	-23.5707	-46.64471	South America	Tropical
HPT7	V	-7.804727	112.51613	Pacific	Tropical
HPT34	V	-5.256105	119.863864	Pacific	Tropical
HPT4	V	-7.801594	112.517286	Pacific	Tropical
