N	eigenvalue	difference	twstat	p-value	effect.n
238	0.590569	-0.003117	-15.801	1	903.770
239	0.585862	-0.004707	-16.203	1	902.986
240	0.582123	-0.003739	-16.444	1	902.117
241	0.577415	-0.004708	-16.862	1	901.198
242	0.574678	-0.002737	-16.940	1	900.191
243	0.572725	-0.001952	-16.882	1	899.165
244	0.572508	-0.000218	-16.516	1	898.146
245	0.564647	-0.007861	-17.506	1	897.196
246	0.562478	-0.002168	-17.499	1	896.046
247	0.560228	-0.002250	-17.508	1	894.893
248	0.558711	-0.001517	-17.386	1	893.734
249	0.557725	-0.000986	-17.167	1	892.594
250	0.556534	-0.001191	-16.983	1	891.494
251	0.555182	-0.001352	-16.825	1	890.426
252	0.550953	-0.004229	-17.188	1	889.385
253	0.548506	-0.002448	-17.234	1	888.268
254	0.546909	-0.001596	-17.127	1	887.137
255	0.545447	-0.001462	-16.995	1	886.023
256	0.542976	-0.002471	-17.046	1	884.931
257	0.540565	-0.002412	-17.089	1	883.824
258	0.538662	-0.001903	-17.040	1	882.704
259	0.536999	-0.001662	-16.946	1	881.590
260	0.533811	-0.003188	-17.135	1	880.490
261	0.532470	-0.001341	-16.985	1	879.348
262	0.531040	-0.001430	-16.851	1	878.231
263	0.529092	-0.001949	-16.811	1	877.137
264	0.527922	-0.001169	-16.626	1	876.048
265	0.525875	-0.002047	-16.604	1	874.991
266	0.523516	-0.002359	-16.641	1	873.936
267	0.522370	-0.001146	-16.451	1	872.868
268	0.521239	-0.001132	-16.255	1	871.835
269	0.520129	-0.001109	-16.053	1	870.839
270	0.519671	-0.000459	-15.724	1	869.882
271	0.518321	-0.001349	-15.560	1	868.991
272	0.516827	-0.001494	-15.421	1	868.131
273	0.516060	-0.000767	-15.141	1	867.297
274	0.514016	-0.002044	-15.103	1	866.521
275	0.513702	-0.000313	-14.731	1	865.750
276	0.513247	-0.000456	-14.379	1	865.057
277	0.508078	-0.005169	-14.940	1	864.440
278	0.505916	-0.002162	-14.927	1	863.695
279	0.504057	-0.001859	-14.855	1	862.948
280	0.502128	-0.001929	-14.797	1	862.214
281	0.501526	-0.000602	-14.478	1	861.490
282	0.500025	-0.001501	-14.331	1	860.834
283	0.496734	-0.003291	-14.537	1	860.209
284	0.495608	-0.001126	-14.319	1	859.533
285	0.494638	-0.000970	-14.066	1	858.904
286	0.493457	-0.001181	-13.851	1	858.330
287	0.486548	-0.006910	-14.786	1	857.804
288	0.484212	-0.002336	-14.820	1	857.057
289	0.481942	-0.002270	-14.842	1	856.300
290	0.480902	-0.001040	-14.617	1	855.533
291	0.479723	-0.001179	-14.416	1	854.815
292	0.477674	-0.002049	-14.390	1	854.139
293	0.476546	-0.001127	-14.177	1	853.467
294	0.476227	-0.000320	-13.793	1	852.841
295	0.475379	-0.000847	-13.511	1	852.302
296	0.469752	-0.005627	-14.217	1	851.829
297	0.466854	-0.002899	-14.372	1	851.184
298	0.465092	-0.001761	-14.294	1	850.498
299	0.464583	-0.000509	-13.954	1	849.827
300	0.459476	-0.005107	-14.575	1	849.235
301	0.458147	-0.001329	-14.414	1	848.490
302	0.454477	-0.003670	-14.747	1	847.779
303	0.448706	-0.005771	-15.535	1	846.986
304	0.446312	-0.002394	-15.622	1	846.002
305	0.444297	-0.002015	-15.631	1	844.993
306	0.442543	-0.001754	-15.586	1	843.977
307	0.441765	-0.000777	-15.331	1	842.966
308	0.439833	-0.001933	-15.322	1	842.011
309	0.437287	-0.002546	-15.446	1	841.053
310	0.435552	-0.001735	-15.398	1	840.061
311	0.434060	-0.001491	-15.298	1	839.075
312	0.432247	-0.001814	-15.267	1	838.108
313	0.432013	-0.000234	-14.891	1	837.144
314	0.430071	-0.001942	-14.883	1	836.265
315	0.427871	-0.002199	-14.933	1	835.384
316	0.427370	-0.000501	-14.611	1	834.486
317	0.426398	-0.000972	-14.387	1	833.662
318	0.423585	-0.002813	-14.569	1	832.889
319	0.419265	-0.004320	-15.094	1	832.067
320	0.417417	-0.001848	-15.078	1	831.110
321	0.415391	-0.002026	-15.103	1	830.152
322	0.412767	-0.002624	-15.265	1	829.183
