Sample A	Sample B	Comparison	Comparison_within	Haplotypes	Mean Ks
ECA1174	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00254789992442042
ECA1174	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00331083485315891
ECA1174	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00223983622120899
ECA1174	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00254910022453584
ECA1174	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00228633458217323
ECA1174	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00388305916258685
ECA1174	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.00077709205406151
ECA1657	ECA176	within_species	Tropical_x_Tropical	Among non-HDRs	0.00117701089651362
ECA1657	EG6271	within_species	Tropical_x_Tropical	Among non-HDRs	0.00157860161254485
ECA1657	JU3207	within_species	Tropical_x_Tropical	Among non-HDRs	0.00169896978587148
ECA1657	JU3237	within_species	Tropical_x_Tropical	Among non-HDRs	0.00340613755270904
ECA1657	JU4058	within_species	Tropical_x_Tropical	Among non-HDRs	0.00246596539031399
ECA1657	NIC1052	within_species	Tropical_x_Tropical	Among non-HDRs	0.00211235087105941
ECA1657	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00131724994476553
ECA1657	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00167163122929592
ECA1657	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00143661727417754
ECA1657	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00216762648616882
ECA1657	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.0024243948574871
ECA1657	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00249464742382408
ECA1657	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00320193123439981
ECA1657	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00215649622202215
ECA1657	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00249247261533449
ECA1657	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00224994788941032
ECA1657	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00359866102019251
ECA1657	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.000991884782642471
ECA176	EG6271	within_species	Tropical_x_Tropical	Among non-HDRs	0.00165590023898813
ECA176	JU3207	within_species	Tropical_x_Tropical	Among non-HDRs	0.00163089558763885
ECA176	JU3237	within_species	Tropical_x_Tropical	Among non-HDRs	0.00334906578198739
ECA176	JU4058	within_species	Tropical_x_Tropical	Among non-HDRs	0.0024426932859014
ECA176	NIC1052	within_species	Tropical_x_Tropical	Among non-HDRs	0.00199440052471473
ECA176	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00155081363396896
ECA176	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00169815528252894
ECA176	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00169170669212497
ECA176	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.0021061004897437
ECA176	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00239680886535408
ECA176	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00238600305297788
ECA176	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00324442440397092
ECA176	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00199001377692996
ECA176	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00235573598584405
ECA176	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.0021779251445671
ECA176	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00362119263452527
ECA176	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.00116259402174427
EG6271	JU3207	within_species	Tropical_x_Tropical	Among non-HDRs	0.00183548364276846
EG6271	JU3237	within_species	Tropical_x_Tropical	Among non-HDRs	0.00342285757755555
EG6271	JU4058	within_species	Tropical_x_Tropical	Among non-HDRs	0.00249893573632247
EG6271	NIC1052	within_species	Tropical_x_Tropical	Among non-HDRs	0.00212296484321047
EG6271	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00167642455765936
EG6271	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00143509662665999
EG6271	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.0019984279946213
EG6271	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00208934951696987
EG6271	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00251670357801926
EG6271	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00235220459058558
EG6271	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00327825375756328
EG6271	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00210850673087633
EG6271	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00230701813413941
EG6271	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00221197284120078
EG6271	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.0037702037230654
EG6271	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.00163094911480768
JU3207	JU3237	within_species	Tropical_x_Tropical	Among non-HDRs	0.00332765442060332
JU3207	JU4058	within_species	Tropical_x_Tropical	Among non-HDRs	0.00243646188791266
JU3207	NIC1052	within_species	Tropical_x_Tropical	Among non-HDRs	0.00231526638505799
JU3207	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00150275897716679
JU3207	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00172435704083478
JU3207	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00180715399112601
JU3207	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00225533436502205
JU3207	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00249021806424038
JU3207	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00242037664140233
JU3207	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00311016598199294
JU3207	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00199838493728713
JU3207	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00241234549526617
JU3207	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00226122504302981
JU3207	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00387715674350668
JU3207	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.0016784540286255
JU3237	JU4058	within_species	Tropical_x_Tropical	Among non-HDRs	0.00385368396833084
JU3237	NIC1052	within_species	Tropical_x_Tropical	Among non-HDRs	0.00297033272395515
JU3237	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00341881560168484
JU3237	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00353653671433975
JU3237	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.0037326063781479
JU3237	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00313997883933763
JU3237	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00306777086713449
JU3237	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00306425200127414
JU3237	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00285881809062617
JU3237	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00312597822162166
JU3237	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00303624183713155
JU3237	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00331672624067223
JU3237	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00558775727495249
JU3237	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.0032979353947903
JU4058	NIC1052	within_species	Tropical_x_Tropical	Among non-HDRs	0.00291500450696515
JU4058	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00249997811450431
JU4058	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00237762329817897
JU4058	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00242723078404617
JU4058	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00289417629722765
JU4058	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00299757732182213
JU4058	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00292327535590895
JU4058	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00360678287228413
JU4058	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00272111447024845
JU4058	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00300966268731467
JU4058	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00279765826061334
JU4058	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00465902977728094
JU4058	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.00248401440506457
NIC1052	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00213092166908118
NIC1052	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.0022994974005393
NIC1052	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00254137017562535
NIC1052	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00176795860126217
NIC1052	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00206794802994831
NIC1052	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00187458359505884
NIC1052	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00279379874612497
NIC1052	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00184681129661949
NIC1052	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00174931235327675
NIC1052	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00188154549110172
NIC1052	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.0043362193885499
NIC1052	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.00210768287860499
NIC1529	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00165969284706447
NIC1529	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00152277408715408
NIC1529	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00225426116445054
NIC1529	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00252822343792074
NIC1529	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00263627560785721
NIC1529	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00331963483426592
NIC1529	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00214591729236154
NIC1529	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00251326437522374
NIC1529	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00228312991964927
NIC1529	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00366924755991453
NIC1529	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.00152410014420239
NIC248	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00158282404243735
NIC248	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00251191209072498
NIC248	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00250063885215774
NIC248	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00255263457280886
NIC248	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00314485290285294
NIC248	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00213548671076201
NIC248	QG786	within_species	Tropical_x_Tropical	Among non-HDRs	0.00252286449056097
NIC248	QG791	within_species	Tropical_x_Tropical	Among non-HDRs	0.00221069138236394
NIC248	QX1410	within_species	Tropical_x_Tropical	Among non-HDRs	0.00369833705337286
NIC248	QX1796	within_species	Tropical_x_Tropical	Among non-HDRs	0.00181023153617745
PE887	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00256043576122059
PE887	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00264372218709091
PE887	QG2665	within_species	Tropical_x_Tropical	Among non-HDRs	0.00282744597768133
PE887	QG2902	within_species	Tropical_x_Tropical	Among non-HDRs	0.00338398393287015
PE887	QG2964	within_species	Tropical_x_Tropical	Among non-HDRs	0.00230741299981825
