isotype	Sublineage	Lineage	lat	long	geo	geo_color	abslat	subpop	adm_color	lineage_color	sublineage_color
QG806	TS2	Tropical	9.147185361	-79.8528469	Central America	#8DA0CB	9.147185361	Q	#0340B9	#ff0000	#ff77ab
QG739	TS2	Tropical	9.15447	-79.82758	Central America	#8DA0CB	9.15447	Q	#0340B9	#ff0000	#ff77ab
QG2683	TS2	Tropical	9.153933333	-79.83166667	Central America	#8DA0CB	9.153933333	Q	#0340B9	#ff0000	#ff77ab
QG995	TS2	Tropical	9.158893	-79.835315	Central America	#8DA0CB	9.158893	Q	#0340B9	#ff0000	#ff77ab
QG802	TS2	Tropical	9.158057	-79.834221	Central America	#8DA0CB	9.158057	Q	#0340B9	#ff0000	#ff77ab
QG868	TS2	Tropical	9.14141	-79.8285	Central America	#8DA0CB	9.14141	Admixed	gray80	#ff0000	#ff77ab
QG733	TS2	Tropical	9.152583	-79.852998	Central America	#8DA0CB	9.152583	Q	#0340B9	#ff0000	#ff77ab
QG2964	TS2	Tropical	9.166166667	-79.84	Central America	#8DA0CB	9.166166667	Q	#0340B9	#ff0000	#ff77ab
QG763	TS2	Tropical	9.161421	-79.837195	Central America	#8DA0CB	9.161421	Admixed	gray80	#ff0000	#ff77ab
QG3058	TS2	Tropical	9.163116667	-79.8372	Central America	#8DA0CB	9.163116667	Admixed	gray80	#ff0000	#ff77ab
QG880	TS2	Tropical	9.15445	-79.83205	Central America	#8DA0CB	9.15445	Admixed	gray80	#ff0000	#ff77ab
QG736	TS2	Tropical	9.155514	-79.848903	Central America	#8DA0CB	9.155514	Admixed	gray80	#ff0000	#ff77ab
QG776	TS2	Tropical	9.160652	-79.820831	Central America	#8DA0CB	9.160652	Admixed	gray80	#ff0000	#ff77ab
QG3019	TS2	Tropical	9.163116667	-79.8372	Central America	#8DA0CB	9.163116667	Admixed	gray80	#ff0000	#ff77ab
QG1005	TS2	Tropical	9.170573	-79.84316	Central America	#8DA0CB	9.170573	Admixed	gray80	#ff0000	#ff77ab
QG3867	TS2	Tropical	10.42361667	-84.00118611	Central America	#8DA0CB	10.42361667	Admixed	gray80	#ff0000	#ff77ab
QG3801	TS2	Tropical	10.43082	-84.01138	Central America	#8DA0CB	10.43082	Admixed	gray80	#ff0000	#ff77ab
QG2736	TS2	Tropical	9.1598	-79.8399	Central America	#8DA0CB	9.1598	Admixed	gray80	#ff0000	#ff77ab
QG2659	TS2	Tropical	9.153933333	-79.83166667	Central America	#8DA0CB	9.153933333	Admixed	gray80	#ff0000	#ff77ab
QG1111	TS2	Tropical	9.16835	-79.839279	Central America	#8DA0CB	9.16835	Admixed	gray80	#ff0000	#ff77ab
