discordance	sites	i	j
414724	5412218	BRC20312	VSL2217
413268	5445684	BRC20312	VSL2219
408817	5412599	BRC20312	VT847
435698	5369365	BRC20312	VX34
412613	5461515	BRC20312	XZ1204
407692	5433418	BRC20312	XZ1205
408123	5439391	BRC20312	XZ1206
408597	5417658	BRC20312	XZ1207
413201	5460757	BRC20312	XZ1210
415092	5468386	BRC20312	XZ1212
414110	5460532	BRC20312	XZ1213
414693	5466422	BRC20312	XZ1731
415857	5471491	BRC20312	XZ1732
411824	5421986	BRC20312	ZZY0992
412222	5437028	BRC20312	ZZY1034
414997	5473652	BRC20312	ZZY1075
408693	5400617	BRC20312	ZZY1123
415264	5471410	BRC20312	ZZY1130
413856	5470329	BRC20312	ZZY405
58326	5427232	BRC20315	BRC20320
391409	5295584	BRC20315	BRC20324
51322	5392594	BRC20315	BRC20331
90688	5435832	BRC20315	BRC20333
43609	5423140	BRC20315	BRC20334
63068	5440764	BRC20315	BRC20339
85074	5428854	BRC20315	BRC20341
393075	5380900	BRC20315	BRC20343
86033	5414714	BRC20315	BRC20346
393934	5390193	BRC20315	BRC20347
83592	5455026	BRC20315	BRC20348
404682	5380073	BRC20315	BRC20353
404846	5384573	BRC20315	BRC20360
408376	5413417	BRC20315	BRC20361
408916	5417005	BRC20315	BRC20362
60011	5424116	BRC20315	BRC20366
87970	5466357	BRC20315	BRC20367
414581	5472271	BRC20315	BRC20369
18789	5491338	BRC20315	BRC20370
448336	5292356	BRC20315	BRC20388
98434	5460348	BRC20315	BRC20390
409830	5426748	BRC20315	BRC20401
80745	5378774	BRC20315	BRC20463
371582	5302683	BRC20315	BRC20492
84406	5400161	BRC20315	BRC20499
73313	5418327	BRC20315	BRC20501
421109	5237300	BRC20315	BRC20502
422560	5296293	BRC20315	BRC20503
373674	5300034	BRC20315	BRC20519
375411	5335576	BRC20315	BRC20520
389321	5377045	BRC20315	BRC20522
390693	5373904	BRC20315	BRC20524
89219	5345445	BRC20315	BRC20529
389659	5325645	BRC20315	BRC20530
385962	5301966	BRC20315	BRC20531
96792	5397664	BRC20315	BRC20532
76360	5397972	BRC20315	BRC20533
88031	5389033	BRC20315	BRC20534
79659	5348182	BRC20315	BRC20535
80185	5391827	BRC20315	BRC20536
94414	5391037	BRC20315	BRC20537
381015	5353508	BRC20315	BRC20541
98197	5448525	BRC20315	BRC20543
68625	5397828	BRC20315	BRC20544
78516	5410616	BRC20315	BRC20545
412241	5453109	BRC20315	BRC20556
93966	5387491	BRC20315	BRC20557
409956	5429686	BRC20315	BRC20565
412050	5440628	BRC20315	BRC20571
412000	5448566	BRC20315	BRC20574
446461	5296182	BRC20315	BW287
410677	5425617	BRC20315	DF5100
411757	5434364	BRC20315	ECA1129
411531	5436941	BRC20315	ECA1143
78118	5095132	BRC20315	ECA1146
387496	5335159	BRC20315	ECA1147
399600	5453931	BRC20315	ECA1149
413010	5447216	BRC20315	ECA1160
403091	5441787	BRC20315	ECA1164
82506	5207359	BRC20315	ECA1170
411606	5453518	BRC20315	ECA1174
89610	5447234	BRC20315	ECA1383
413140	5447998	BRC20315	ECA1411
411166	5450137	BRC20315	ECA1423
411503	5442668	BRC20315	ECA1429
412847	5451937	BRC20315	ECA1431
415310	5456940	BRC20315	ECA1437
405286	5327108	BRC20315	ECA1439
80383	5210843	BRC20315	ECA1443
411656	5429889	BRC20315	ECA1471
412090	5445315	BRC20315	ECA1489
153923	5173122	BRC20315	ECA1503
410471	5431656	BRC20315	ECA1507
413124	5451636	BRC20315	ECA1509
413403	5440000	BRC20315	ECA1517
412908	5444262	BRC20315	ECA1521
412672	5454680	BRC20315	ECA1555
93696	5446264	BRC20315	ECA1559
412213	5459073	BRC20315	ECA1563
413429	5460126	BRC20315	ECA1571
404313	5369062	BRC20315	ECA1587
143016	5390683	BRC20315	ECA1605
413718	5467509	BRC20315	ECA1609
409692	5408721	BRC20315	ECA161
409098	5420397	BRC20315	ECA1611
388687	5403112	BRC20315	ECA1615
409281	5408016	BRC20315	ECA162
409175	5403377	BRC20315	ECA1621
452167	5233356	BRC20315	ECA163
411920	5447360	BRC20315	ECA1637
410383	5441052	BRC20315	ECA1657
409349	5431586	BRC20315	ECA1701
413427	5447352	BRC20315	ECA175
412862	5459361	BRC20315	ECA176
414458	5446453	BRC20315	ECA177
405435	5360237	BRC20315	ECA180
406755	5360961	BRC20315	ECA182
413978	5454118	BRC20315	ECA183
412343	5424934	BRC20315	ECA185
411229	5422056	BRC20315	ECA186
412238	5448982	BRC20315	ECA2083
410508	5439761	BRC20315	ECA2093
413033	5462742	BRC20315	ECA2115
86316	5427572	BRC20315	ECA2299
412522	5470526	BRC20315	ECA2373
100098	5424907	BRC20315	ECA2385
414259	5470774	BRC20315	ECA2425
893846	5219857	BRC20315	ECA2617
891506	5199482	BRC20315	ECA2618
890140	5180995	BRC20315	ECA2621
413753	5445249	BRC20315	ECA2623
414096	5475041	BRC20315	ECA2625
410144	5424203	BRC20315	ECA2626
413722	5473177	BRC20315	ECA2636
411863	5443977	BRC20315	ECA2637
885935	5155140	BRC20315	ECA2639
406553	5382328	BRC20315	ECA2645
897300	5226987	BRC20315	ECA2647
414612	5472745	BRC20315	ECA2663
414556	5444588	BRC20315	ECA2664
886292	5136038	BRC20315	ECA2666
412115	5447598	BRC20315	ECA2667
886930	5161413	BRC20315	ECA2670
458311	5306509	BRC20315	ECA276
452244	5311751	BRC20315	ECA278
412383	5459709	BRC20315	ECA2808
104600	5423681	BRC20315	ECA287
367679	5438874	BRC20315	ECA288
412355	5431120	BRC20315	ECA2883
411385	5438721	BRC20315	ECA2890
410071	5419156	BRC20315	ECA2894
88012	5454343	BRC20315	ECA2936
415484	5472908	BRC20315	ECA2975
413932	5469957	BRC20315	ECA3091
413643	5454324	BRC20315	ECA343
412160	5430623	BRC20315	ECA346
88767	5452297	BRC20315	ECA3502
414206	5471571	BRC20315	ECA3503
414995	5467941	BRC20315	ECA3509
416105	5486589	BRC20315	ECA3708
410239	5437644	BRC20315	ECA371
415872	5475137	BRC20315	ECA3712
415979	5486316	BRC20315	ECA3713
416126	5470221	BRC20315	ECA3899
414823	5456657	BRC20315	ECA4382
416056	5475583	BRC20315	ECA4390
414079	5456065	BRC20315	ECA4394
413922	5432247	BRC20315	ECA4402
451588	5319817	BRC20315	ECA569
409488	5435182	BRC20315	ED3032
412588	5467824	BRC20315	ED3037
414257	5473841	BRC20315	ED3088
478302	5340399	BRC20315	ED3102
456906	5371045	BRC20315	EG4360
408648	5444699	BRC20315	EG5612
410997	5417256	BRC20315	EG5613
413941	5452543	BRC20315	EG6179
415926	5462826	BRC20315	EG6260
415057	5478142	BRC20315	EG6261
92412	5448598	BRC20315	EG6265
412442	5466562	BRC20315	EG6267
416323	5467540	BRC20315	EG6271
415482	5475545	BRC20315	EG6272
416369	5479838	BRC20315	EG6274
416220	5481239	BRC20315	EG6275
416142	5482282	BRC20315	EG6276
416306	5455558	BRC20315	EG6329
452924	5352140	BRC20315	GUN124
413784	5477266	BRC20315	GXW22
405618	5417669	BRC20315	GXW23
450846	5350595	BRC20315	HK104
466561	5339695	BRC20315	HPT11
413912	5444239	BRC20315	HPT16
460002	5330917	BRC20315	HPT18
414166	5450822	BRC20315	HPT19
415304	5439183	BRC20315	HPT2
414401	5477114	BRC20315	HPT21
463925	5348783	BRC20315	HPT24
416166	5458980	BRC20315	HPT34
413668	5447414	BRC20315	HPT37
414856	5445127	BRC20315	HPT4
415081	5459187	BRC20315	HPT42
414955	5454528	BRC20315	HPT52
414857	5466164	BRC20315	HPT53
413938	5450578	BRC20315	HPT54
414662	5470381	BRC20315	HPT55
415421	5467325	BRC20315	HPT59
415723	5468726	BRC20315	HPT60
413196	5382056	BRC20315	HPT62
416235	5452331	BRC20315	HPT63
415367	5447994	BRC20315	HPT7
414885	5444036	BRC20315	HPT8
413895	5437896	BRC20315	HPT9
454524	5371093	BRC20315	JU1085
411893	5438106	BRC20315	JU1337
410835	5419254	BRC20315	JU1338
877645	5248495	BRC20315	JU1341
406306	5369535	BRC20315	JU1346
413455	5457071	BRC20315	JU1347
872573	5246292	BRC20315	JU1348
406051	5363132	BRC20315	JU1375
410232	5403384	BRC20315	JU1377
414098	5456776	BRC20315	JU1378
412865	5456411	BRC20315	JU1392
415847	5459463	BRC20315	JU1399
406559	5429873	BRC20315	JU1424
412807	5445255	BRC20315	JU1435
449434	5318074	BRC20315	JU1564
413958	5461972	BRC20315	JU1637
408749	5390761	BRC20315	JU1638
418543	5446427	BRC20315	JU1794
415578	5453541	BRC20315	JU1795
410862	5433954	BRC20315	JU1799
413129	5435757	BRC20315	JU1802
411038	5446182	BRC20315	JU1814
407930	5418371	BRC20315	JU1884
412655	5429181	BRC20315	JU1885
407828	5381626	BRC20315	JU1907
412105	5448060	BRC20315	JU1908
413445	5447222	BRC20315	JU1909
411712	5439601	BRC20315	JU1913
415419	5468591	BRC20315	JU2053
413461	5444554	BRC20315	JU2054
413032	5449160	BRC20315	JU2056
416359	5399956	BRC20315	JU2057
401624	5224126	BRC20315	JU2160
412902	5373481	BRC20315	JU2162
411257	5430071	BRC20315	JU2214
95164	5414600	BRC20315	JU2216
379912	5276227	BRC20315	JU2457
413977	5356725	BRC20315	JU2470
412641	5422859	BRC20315	JU2472
405627	5364061	BRC20315	JU2507
413718	5415308	BRC20315	JU2518
447096	5288188	BRC20315	JU2536
416120	5448160	BRC20315	JU2618
410022	5425242	BRC20315	JU2799
415837	5464650	BRC20315	JU2836
403722	5394379	BRC20315	JU2849
413130	5464371	BRC20315	JU2861
412222	5454321	BRC20315	JU2868
452667	5347217	BRC20315	JU2872
414591	5458514	BRC20315	JU2910
498980	5331736	BRC20315	JU3168
415163	5470021	BRC20315	JU3171
876523	5231721	BRC20315	JU3199
872298	5221052	BRC20315	JU3200
874039	5213273	BRC20315	JU3201
874005	5225097	BRC20315	JU3202
872383	5202058	BRC20315	JU3203
873113	5206967	BRC20315	JU3206
412136	5411107	BRC20315	JU3207
418142	5388833	BRC20315	JU3237
411296	5436944	BRC20315	JU3281
408648	5444363	BRC20315	JU3319
412979	5460429	BRC20315	JU3321
436269	5343165	BRC20315	JU3326
413075	5462686	BRC20315	JU3327
454770	5392137	BRC20315	JU3416
228669	5049389	BRC20315	JU356
412401	5453503	BRC20315	JU4042
404591	5400629	BRC20315	JU4051
407188	5399790	BRC20315	JU4058
399542	5314355	BRC20315	JU4060
405309	5410350	BRC20315	JU4062
404446	5368550	BRC20315	JU4064
413331	5458512	BRC20315	JU4080
407822	5411127	BRC20315	JU4084
406903	5405266	BRC20315	JU4097
408062	5434482	BRC20315	JU725
412331	5452701	BRC20315	MY2716
414069	5472104	BRC20315	MY539
233661	5077498	BRC20315	MY681
411418	5406801	BRC20315	NIC1050
409664	5361849	BRC20315	NIC1052
408349	5337390	BRC20315	NIC1054
413344	5429720	BRC20315	NIC1055
416104	5420489	BRC20315	NIC1057
409529	5363663	BRC20315	NIC1058
413584	5400107	BRC20315	NIC1059
412974	5432344	BRC20315	NIC1060
415639	5443213	BRC20315	NIC1062
412602	5401340	BRC20315	NIC1069
411341	5434338	BRC20315	NIC1103
409916	5434516	BRC20315	NIC1104
406638	5362451	BRC20315	NIC1106
407231	5382060	BRC20315	NIC1117
407390	5414503	BRC20315	NIC1123
412534	5406616	BRC20315	NIC1124
407769	5322782	BRC20315	NIC1135
414490	5413154	BRC20315	NIC1138
413137	5407937	BRC20315	NIC1141
417459	5470468	BRC20315	NIC115
417131	5471947	BRC20315	NIC117
414996	5429132	BRC20315	NIC1183
416735	5467643	BRC20315	NIC119
411690	5407581	BRC20315	NIC1190
409054	5444491	BRC20315	NIC1202
407321	5416336	BRC20315	NIC1204
96486	5418441	BRC20315	NIC1205
410004	5439859	BRC20315	NIC1218
93146	5358693	BRC20315	NIC1220
402476	5342962	BRC20315	NIC1221
415888	5487252	BRC20315	NIC123
414902	5450520	BRC20315	NIC1267
413779	5443345	BRC20315	NIC1283
410134	5422491	BRC20315	NIC1288
413974	5457553	BRC20315	NIC1292
411143	5417590	BRC20315	NIC1302
410457	5407361	BRC20315	NIC1304
410116	5445599	BRC20315	NIC1308
413474	5441259	BRC20315	NIC1407
410634	5428496	BRC20315	NIC1421
415238	5459308	BRC20315	NIC1423
403624	5369314	BRC20315	NIC1442
407679	5423741	BRC20315	NIC1491
411599	5426873	BRC20315	NIC1525
414245	5462869	BRC20315	NIC1528
411533	5435954	BRC20315	NIC1529
412748	5443367	BRC20315	NIC1533
412439	5433590	BRC20315	NIC1535
61110	5431905	BRC20315	NIC1539
393246	5373525	BRC20315	NIC1540
76388	5418172	BRC20315	NIC1562
389176	5341777	BRC20315	NIC1589
90036	5430523	BRC20315	NIC1590
390342	5370368	BRC20315	NIC1591
389678	5353559	BRC20315	NIC1593
98062	5436517	BRC20315	NIC1595
95269	5416232	BRC20315	NIC1598
68199	5441587	BRC20315	NIC1602
379437	5346043	BRC20315	NIC1607
411721	5450195	BRC20315	NIC1628
60109	5451718	BRC20315	NIC1630
95926	5419520	BRC20315	NIC1631
448756	5284520	BRC20315	NIC1632
451498	5327252	BRC20315	NIC1633
454417	5360384	BRC20315	NIC1635
86280	5468208	BRC20315	NIC1645
89685	5269959	BRC20315	NIC1660
92261	5403541	BRC20315	NIC1661
96899	5391677	BRC20315	NIC1662
90990	5407545	BRC20315	NIC1663
391024	5359516	BRC20315	NIC1664
392887	5373945	BRC20315	NIC1665
93133	5433173	BRC20315	NIC1666
70283	5438500	BRC20315	NIC1667
94088	5425354	BRC20315	NIC1681
412209	5449121	BRC20315	NIC1688
93277	5439017	BRC20315	NIC1692
93863	5439642	BRC20315	NIC1693
406013	5390051	BRC20315	NIC17
455981	5377625	BRC20315	NIC174
417305	5470999	BRC20315	NIC187
416407	5467729	BRC20315	NIC188
389074	5354797	BRC20315	NIC19
416103	5476038	BRC20315	NIC191
391207	5353166	BRC20315	NIC20
385857	5295088	BRC20315	NIC21
391278	5383754	BRC20315	NIC22
409396	5422601	BRC20315	NIC2369
403970	5318874	BRC20315	NIC248
411521	5403140	BRC20315	NIC250
413972	5477722	BRC20315	NIC2527
404842	5373399	BRC20315	NIC309
410763	5442676	BRC20315	NIC325
413950	5435977	BRC20315	NIC327
412638	5403853	BRC20315	NIC329
413062	5440438	BRC20315	NIC330
412536	5408179	BRC20315	NIC331
409236	5399956	BRC20315	NIC332
413597	5429055	BRC20315	NIC333
412745	5458118	BRC20315	NIC343
413458	5461127	BRC20315	NIC392
410548	5402871	BRC20315	NIC400
396736	5216527	BRC20315	NIC402
411145	5440539	BRC20315	NIC419
86330	5446010	BRC20315	NIC504
92402	5378580	BRC20315	NIC505
54379	5345252	BRC20315	NIC518
50964	5443520	BRC20315	NIC519
409384	5383995	BRC20315	NIC532
412281	5439223	BRC20315	NIC541
413065	5466694	BRC20315	NIC549
412368	5445696	BRC20315	NIC552
410929	5431937	BRC20315	NIC555
407277	5380333	BRC20315	NIC574
415197	5470715	BRC20315	NIC578
412236	5441801	BRC20315	NIC583
415510	5467568	BRC20315	NIC590
406716	5373463	BRC20315	NIC593
413338	5466037	BRC20315	NIC60
414872	5472686	BRC20315	NIC61
409213	5410385	BRC20315	NIC62
408216	5445644	BRC20315	NIC67
408672	5377019	BRC20315	NIC758
414873	5468853	BRC20315	NIC777
95535	5386036	BRC20315	NIC779
411090	5430943	BRC20315	NIC790
410512	5424688	BRC20315	NIC791
407569	5402811	BRC20315	NIC792
414542	5473136	BRC20315	NIC793
406357	5361743	BRC20315	NIC795
413887	5467709	BRC20315	NIC796
414183	5469280	BRC20315	NIC802
413497	5464012	BRC20315	NIC803
97788	5435940	BRC20315	NIC805
410278	5414715	BRC20315	NIC811
93696	5355886	BRC20315	NIC814
93123	5454643	BRC20315	NIC815
394515	5387928	BRC20315	NIC816
371739	5234573	BRC20315	NIC819
413407	5457556	BRC20315	NIC821
81915	5405194	BRC20315	NIC822
93504	5436753	BRC20315	NIC824
393705	5389367	BRC20315	NIC825
392998	5338044	BRC20315	NIC827
393063	5395586	BRC20315	NIC828
96524	5430683	BRC20315	NIC863
96597	5407663	BRC20315	NIC864
93744	5425859	BRC20315	NIC865
406950	5384969	BRC20315	NIC871
407955	5393512	BRC20315	NIC883
93959	5420997	BRC20315	NIC889
420182	5293567	BRC20315	NIC893
92509	5444579	BRC20315	NIC897
445678	5250650	BRC20315	NIC899
413205	5451720	BRC20315	NIC901
396732	5256075	BRC20315	NIC911
410375	5455542	BRC20315	NIC96
410986	5430552	BRC20315	NIC984
408383	5409209	BRC20315	NIC985
424948	5001262	BRC20315	PB800
456215	5377733	BRC20315	PB857
414295	5473521	BRC20315	PE887
411011	5399863	BRC20315	QG1005
412121	5417795	BRC20315	QG1007
412137	5421603	BRC20315	QG1111
415011	5457807	BRC20315	QG1126
412078	5425789	BRC20315	QG1141
410721	5415269	BRC20315	QG1155
411737	5451856	BRC20315	QG130
408122	5395589	BRC20315	QG132
95506	5448466	BRC20315	QG133
415894	5440852	BRC20315	QG2641
415157	5447097	BRC20315	QG2648
415739	5441571	BRC20315	QG2659
416238	5450918	BRC20315	QG2663
417451	5436046	BRC20315	QG2665
409869	5406078	BRC20315	QG2683
413601	5417198	BRC20315	QG2736
411112	5442654	BRC20315	QG2814
415224	5464864	BRC20315	QG2820
410344	5424765	BRC20315	QG2848
411060	5405285	BRC20315	QG2880
412510	5447350	BRC20315	QG2881
407972	5389895	BRC20315	QG2883
410009	5399200	BRC20315	QG2884
895520	5211265	BRC20315	QG2891
411794	5400385	BRC20315	QG2892
899379	5236475	BRC20315	QG2893
407338	5384360	BRC20315	QG2895
411528	5427983	BRC20315	QG2902
410539	5393391	BRC20315	QG2903
407739	5390420	BRC20315	QG2906
893426	5213409	BRC20315	QG2908
411941	5444560	BRC20315	QG2910
895125	5202724	BRC20315	QG2919
411830	5398260	BRC20315	QG2923
410591	5401454	BRC20315	QG2925
413589	5435580	BRC20315	QG2964
408958	5429907	BRC20315	QG2966
413657	5444991	BRC20315	QG2969
408924	5379651	BRC20315	QG2972
414468	5443905	BRC20315	QG2996
414155	5421508	BRC20315	QG3004
414164	5434611	BRC20315	QG3006
414669	5434457	BRC20315	QG3019
414036	5424740	BRC20315	QG3025
414031	5416388	BRC20315	QG3030
412242	5432930	BRC20315	QG3032
414975	5425465	BRC20315	QG3034
410129	5420784	BRC20315	QG3041
412941	5449651	BRC20315	QG3053
410344	5449438	BRC20315	QG3056
413143	5419618	BRC20315	QG3057
413940	5437023	BRC20315	QG3058
408755	5384041	BRC20315	QG3527
452873	5368093	BRC20315	QG3661
408729	5402780	BRC20315	QG3783
409077	5353171	BRC20315	QG3801
400290	5303153	BRC20315	QG3815
408260	5392631	BRC20315	QG3816
415821	5437329	BRC20315	QG3823
411589	5449233	BRC20315	QG3825
407338	5365507	BRC20315	QG3826
413407	5441615	BRC20315	QG3837
412189	5430677	BRC20315	QG3851
403725	5345114	BRC20315	QG3861
412445	5396343	BRC20315	QG3867
411969	5450645	BRC20315	QG3874
413567	5459766	BRC20315	QG3875
412524	5432064	BRC20315	QG3876
413429	5459958	BRC20315	QG3878
412645	5457056	BRC20315	QG3920
411913	5442166	BRC20315	QG3921
415144	5463278	BRC20315	QG3923
414095	5454197	BRC20315	QG3924
415030	5457989	BRC20315	QG3925
414738	5459194	BRC20315	QG3926
414772	5454098	BRC20315	QG3927
410252	5432591	BRC20315	QG3931
410203	5448945	BRC20315	QG3932
409987	5421053	BRC20315	QG3933
883262	5143863	BRC20315	QG4026
891304	5208231	BRC20315	QG4028
893039	5219843	BRC20315	QG4031
898232	5225112	BRC20315	QG4063
893885	5199371	BRC20315	QG4064
899514	5243396	BRC20315	QG4067
899406	5242283	BRC20315	QG4068
414626	5465337	BRC20315	QG4070
892072	5205633	BRC20315	QG4093
893266	5188777	BRC20315	QG4094
895514	5200527	BRC20315	QG4095
899012	5228091	BRC20315	QG4096
895067	5199719	BRC20315	QG4097
893263	5193601	BRC20315	QG4104
892932	5191393	BRC20315	QG4114
897242	5221941	BRC20315	QG4131
899339	5238016	BRC20315	QG4132
892606	5218354	BRC20315	QG4208
900603	5248714	BRC20315	QG4214
896527	5207271	BRC20315	QG4225
893962	5208499	BRC20315	QG4232
891866	5189196	BRC20315	QG4233
412095	5444951	BRC20315	QG4647
416382	5454269	BRC20315	QG4648
417606	5459676	BRC20315	QG4683
416039	5443428	BRC20315	QG4701
419019	5457681	BRC20315	QG4706
418060	5472505	BRC20315	QG4718
414660	5474399	BRC20315	QG4742
414729	5421106	BRC20315	QG4805
412717	5460751	BRC20315	QG4847
416828	5454028	BRC20315	QG4966
418560	5460439	BRC20315	QG5348
415391	5434647	BRC20315	QG5406
451955	5319742	BRC20315	QG547
416030	5446138	BRC20315	QG5474
416066	5463445	BRC20315	QG5488
410045	5443999	BRC20315	QG550
417313	5456056	BRC20315	QG5507
417330	5451002	BRC20315	QG5525
415430	5453612	BRC20315	QG5589
412705	5444192	BRC20315	QG5603
417194	5442724	BRC20315	QG5611
418271	5453107	BRC20315	QG5612
415767	5464887	BRC20315	QG5633
454211	5342065	BRC20315	QG581
457790	5381971	BRC20315	QG588
412701	5451174	BRC20315	QG700
408902	5393090	BRC20315	QG727
410544	5403714	BRC20315	QG733
413663	5405525	BRC20315	QG736
412878	5420438	BRC20315	QG737
410931	5421423	BRC20315	QG739
408236	5395614	BRC20315	QG761
410209	5402824	BRC20315	QG763
409705	5398646	BRC20315	QG776
411536	5419414	BRC20315	QG781
413678	5422849	BRC20315	QG784
412223	5404555	BRC20315	QG786
410240	5398998	BRC20315	QG788
407627	5345907	BRC20315	QG790
414470	5410356	BRC20315	QG791
409611	5407373	BRC20315	QG795
412732	5407128	BRC20315	QG797
411055	5415542	BRC20315	QG802
413003	5400986	BRC20315	QG804
409602	5405742	BRC20315	QG806
410210	5384149	BRC20315	QG807
410000	5394672	BRC20315	QG808
416359	5426392	BRC20315	QG809
409846	5409945	BRC20315	QG825
406637	5355892	BRC20315	QG827
408154	5372270	BRC20315	QG828
405861	5349865	BRC20315	QG833
414923	5412805	BRC20315	QG855
409839	5400250	BRC20315	QG856
414621	5413583	BRC20315	QG858
401562	5306565	BRC20315	QG860
412835	5398653	BRC20315	QG864
411666	5427420	BRC20315	QG865
413924	5435574	BRC20315	QG866
408696	5390096	BRC20315	QG868
411330	5431477	BRC20315	QG874
405845	5324204	BRC20315	QG875
407215	5377572	BRC20315	QG878
410685	5419579	BRC20315	QG879
405136	5298963	BRC20315	QG880
408580	5397265	BRC20315	QG881
414134	5421636	BRC20315	QG887
413607	5411075	BRC20315	QG888
411066	5401984	BRC20315	QG926
409778	5413835	BRC20315	QG927
411443	5394809	BRC20315	QG933
410841	5410393	BRC20315	QG937
408593	5351927	BRC20315	QG945
412437	5409949	BRC20315	QG946
410778	5428125	BRC20315	QG947
408241	5389755	BRC20315	QG948
407901	5365613	BRC20315	QG952
413700	5419152	BRC20315	QG978
413517	5413961	BRC20315	QG980
413274	5435769	BRC20315	QG986
408074	5385126	BRC20315	QG991
415153	5436162	BRC20315	QG994
413095	5443471	BRC20315	QG995
411578	5418126	BRC20315	QG997
414489	5445115	BRC20315	QG998
447937	5359010	BRC20315	QR25
416215	5504665	BRC20315	QX1410
444984	5234495	BRC20315	QX1547
411198	5441819	BRC20315	QX1795
408770	5427541	BRC20315	QX1796
81700	5338689	BRC20315	QX1798
404533	5362926	BRC20315	QX1800
411549	5458312	BRC20315	QX1801
412059	5451641	BRC20315	QX1802
412289	5447264	BRC20315	QX1803
407703	5401330	BRC20315	QX1804
453121	5359754	BRC20315	SOW18
453046	5359738	BRC20315	SOW21
454582	5357226	BRC20315	SOW22
414129	5471261	BRC20315	TT3408
413836	5471582	BRC20315	TT3411
86231	5454681	BRC20315	TWN1772
396002	5366343	BRC20315	TWN1824
384408	5292876	BRC20315	TWN1899
55121	5463911	BRC20315	TWN1907
63984	5425904	BRC20315	TWN2919
95620	5366913	BRC20315	TWN3077
95349	5447659	BRC20315	UH1
412990	5413564	BRC20315	VSL2201
878278	5255899	BRC20315	VSL2207
876401	5251308	BRC20315	VSL2209
413902	5451211	BRC20315	VSL2210
413767	5458344	BRC20315	VSL2212
414281	5431692	BRC20315	VSL2213
414018	5430915	BRC20315	VSL2215
412570	5431539	BRC20315	VSL2216
414142	5411677	BRC20315	VSL2217
413025	5444335	BRC20315	VSL2219
408222	5412690	BRC20315	VT847
435447	5368734	BRC20315	VX34
411833	5460854	BRC20315	XZ1204
406837	5432611	BRC20315	XZ1205
407191	5439295	BRC20315	XZ1206
408348	5418320	BRC20315	XZ1207
412828	5460021	BRC20315	XZ1210
414528	5468934	BRC20315	XZ1212
414100	5460476	BRC20315	XZ1213
414314	5466654	BRC20315	XZ1731
415350	5471880	BRC20315	XZ1732
410778	5422447	BRC20315	ZZY0992
411963	5437005	BRC20315	ZZY1034
414917	5473408	BRC20315	ZZY1075
407984	5400835	BRC20315	ZZY1123
414976	5470943	BRC20315	ZZY1130
413888	5469799	BRC20315	ZZY405
388046	5261335	BRC20320	BRC20324
64339	5358294	BRC20320	BRC20331
84403	5398643	BRC20320	BRC20333
59319	5390726	BRC20320	BRC20334
65022	5401999	BRC20320	BRC20339
88450	5378227	BRC20320	BRC20341
389430	5333421	BRC20320	BRC20343
71986	5381635	BRC20320	BRC20346
389327	5342938	BRC20320	BRC20347
83871	5405600	BRC20320	BRC20348
401862	5343071	BRC20320	BRC20353
402530	5347418	BRC20320	BRC20360
404691	5373363	BRC20320	BRC20361
405429	5377530	BRC20320	BRC20362
68920	5372213	BRC20320	BRC20366
84490	5417079	BRC20320	BRC20367
410729	5424987	BRC20320	BRC20369
49941	5425955	BRC20320	BRC20370
446199	5259817	BRC20320	BRC20388
96093	5408611	BRC20320	BRC20390
407055	5386101	BRC20320	BRC20401
82000	5346054	BRC20320	BRC20463
369111	5270827	BRC20320	BRC20492
79372	5369745	BRC20320	BRC20499
75769	5386931	BRC20320	BRC20501
418681	5203870	BRC20320	BRC20502
420302	5263258	BRC20320	BRC20503
370471	5268990	BRC20320	BRC20519
372464	5301753	BRC20320	BRC20520
386526	5333962	BRC20320	BRC20522
387996	5332030	BRC20320	BRC20524
87366	5317002	BRC20320	BRC20529
384278	5291525	BRC20320	BRC20530
382012	5268595	BRC20320	BRC20531
93392	5367065	BRC20320	BRC20532
74253	5368582	BRC20320	BRC20533
89149	5357034	BRC20320	BRC20534
80244	5315277	BRC20320	BRC20535
84208	5359702	BRC20320	BRC20536
94123	5360186	BRC20320	BRC20537
376665	5317335	BRC20320	BRC20541
96490	5405740	BRC20320	BRC20543
70911	5367061	BRC20320	BRC20544
84010	5378931	BRC20320	BRC20545
409572	5409849	BRC20320	BRC20556
88623	5359103	BRC20320	BRC20557
407346	5388653	BRC20320	BRC20565
409030	5399806	BRC20320	BRC20571
409179	5405795	BRC20320	BRC20574
444101	5261850	BRC20320	BW287
407705	5384361	BRC20320	DF5100
408711	5393013	BRC20320	ECA1129
408967	5395138	BRC20320	ECA1143
73548	5053109	BRC20320	ECA1146
383780	5295611	BRC20320	ECA1147
394314	5411707	BRC20320	ECA1149
410322	5402001	BRC20320	ECA1160
399784	5397013	BRC20320	ECA1164
77397	5173543	BRC20320	ECA1170
407961	5407774	BRC20320	ECA1174
86500	5404781	BRC20320	ECA1383
410622	5404161	BRC20320	ECA1411
407622	5406450	BRC20320	ECA1423
408272	5399335	BRC20320	ECA1429
409577	5407793	BRC20320	ECA1431
411850	5411717	BRC20320	ECA1437
402119	5285853	BRC20320	ECA1439
73946	5167933	BRC20320	ECA1443
408637	5386540	BRC20320	ECA1471
409811	5400143	BRC20320	ECA1489
150389	5132338	BRC20320	ECA1503
407328	5388420	BRC20320	ECA1507
409885	5407142	BRC20320	ECA1509
