"","samples","cluster","frac_cluster","max_frac","lat","long","geo"
"185","BRC20089","I",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"186","BRC20089","J",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"187","BRC20089","K",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"188","BRC20089","L",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"189","BRC20089","M",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"190","BRC20089","N",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"191","BRC20089","O",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"192","BRC20089","P",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"193","BRC20089","Q",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"194","BRC20089","R",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"195","BRC20089","S",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"196","BRC20089","T",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"197","BRC20089","U",0.99979,0.99979,25.15533333,121.5465611,"Taiwan"
"198","BRC20089","V",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"199","BRC20090","A",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"200","BRC20090","B",0.264377,0.677892,24.744819,121.747742,"Taiwan"
"201","BRC20090","C",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"202","BRC20090","D",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"203","BRC20090","E",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"204","BRC20090","F",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"205","BRC20090","G",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"206","BRC20090","H",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"207","BRC20090","I",0.044376,0.677892,24.744819,121.747742,"Taiwan"
"208","BRC20090","J",0.013175,0.677892,24.744819,121.747742,"Taiwan"
"209","BRC20090","K",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"210","BRC20090","L",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"211","BRC20090","M",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"212","BRC20090","N",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"213","BRC20090","O",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"214","BRC20090","P",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"215","BRC20090","Q",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"216","BRC20090","R",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"217","BRC20090","S",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"218","BRC20090","T",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"219","BRC20090","U",1e-05,0.677892,24.744819,121.747742,"Taiwan"
"220","BRC20090","V",0.677892,0.677892,24.744819,121.747742,"Taiwan"
"221","BRC20092","A",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"222","BRC20092","B",0.10813,0.638938,25.016437,121.540237,"Taiwan"
"223","BRC20092","C",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"224","BRC20092","D",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"225","BRC20092","E",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"226","BRC20092","F",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"227","BRC20092","G",0.638938,0.638938,25.016437,121.540237,"Taiwan"
"228","BRC20092","H",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"229","BRC20092","I",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"230","BRC20092","J",0.079576,0.638938,25.016437,121.540237,"Taiwan"
"231","BRC20092","K",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"232","BRC20092","L",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"233","BRC20092","M",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"234","BRC20092","N",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"235","BRC20092","O",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"236","BRC20092","P",0.052047,0.638938,25.016437,121.540237,"Taiwan"
"237","BRC20092","Q",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"238","BRC20092","R",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"239","BRC20092","S",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"240","BRC20092","T",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"241","BRC20092","U",0.121139,0.638938,25.016437,121.540237,"Taiwan"
"242","BRC20092","V",1e-05,0.638938,25.016437,121.540237,"Taiwan"
"243","BRC20093","A",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"244","BRC20093","B",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"245","BRC20093","C",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"246","BRC20093","D",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"247","BRC20093","E",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"248","BRC20093","F",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"249","BRC20093","G",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"250","BRC20093","H",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"251","BRC20093","I",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"252","BRC20093","J",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"253","BRC20093","K",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"254","BRC20093","L",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"255","BRC20093","M",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"256","BRC20093","N",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"257","BRC20093","O",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"258","BRC20093","P",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"259","BRC20093","Q",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"260","BRC20093","R",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"261","BRC20093","S",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"262","BRC20093","T",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"263","BRC20093","U",0.99979,0.99979,23.94991389,121.5518917,"Taiwan"
"264","BRC20093","V",1e-05,0.99979,23.94991389,121.5518917,"Taiwan"
"265","BRC20094","A",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"266","BRC20094","B",0.079141,0.624053,25.015958,121.541761,"Taiwan"
"267","BRC20094","C",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"268","BRC20094","D",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"269","BRC20094","E",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"270","BRC20094","F",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"271","BRC20094","G",0.624053,0.624053,25.015958,121.541761,"Taiwan"
"272","BRC20094","H",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"273","BRC20094","I",0.039738,0.624053,25.015958,121.541761,"Taiwan"
"274","BRC20094","J",0.042625,0.624053,25.015958,121.541761,"Taiwan"
"275","BRC20094","K",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"276","BRC20094","L",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"277","BRC20094","M",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"278","BRC20094","N",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"279","BRC20094","O",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"280","BRC20094","P",0.052606,0.624053,25.015958,121.541761,"Taiwan"
"281","BRC20094","Q",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"282","BRC20094","R",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"283","BRC20094","S",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"284","BRC20094","T",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"285","BRC20094","U",0.161677,0.624053,25.015958,121.541761,"Taiwan"
"286","BRC20094","V",1e-05,0.624053,25.015958,121.541761,"Taiwan"
"287","BRC20095","A",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"288","BRC20095","B",1.4e-05,0.999786,24.74725,121.746266,"Taiwan"
"289","BRC20095","C",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"290","BRC20095","D",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"291","BRC20095","E",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"292","BRC20095","F",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"293","BRC20095","G",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"294","BRC20095","H",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"295","BRC20095","I",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"296","BRC20095","J",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"297","BRC20095","K",1e-05,0.999786,24.74725,121.746266,"Taiwan"
