N	eigenvalue	difference	twstat	p-value	effect.n
258	0.563726	-0.001950	-7.369	1	914.782
259	0.558927	-0.004800	-7.721	1	915.975
260	0.557599	-0.001328	-7.399	1	917.082
261	0.553135	-0.004463	-7.694	1	918.281
262	0.552664	-0.000471	-7.202	1	919.409
263	0.547841	-0.004823	-7.573	1	920.673
264	0.542764	-0.005077	-8.010	1	921.846
265	0.542249	-0.000515	-7.535	1	922.910
266	0.533648	-0.008601	-8.700	1	924.106
267	0.531208	-0.002440	-8.636	1	924.999
268	0.526190	-0.005018	-9.105	1	925.914
269	0.519920	-0.006270	-9.849	1	926.709
270	0.517841	-0.002079	-9.742	1	927.315
271	0.516306	-0.001535	-9.522	1	927.951
272	0.511696	-0.004609	-9.943	1	928.648
273	0.509465	-0.002231	-9.877	1	929.238
274	0.507758	-0.001707	-9.700	1	929.848
275	0.504467	-0.003291	-9.858	1	930.508
276	0.502806	-0.001661	-9.673	1	931.129
277	0.501395	-0.001411	-9.433	1	931.802
278	0.499166	-0.002229	-9.365	1	932.543
279	0.493725	-0.005441	-9.994	1	933.306
280	0.490672	-0.003052	-10.121	1	933.903
281	0.490095	-0.000577	-9.714	1	934.469
282	0.488634	-0.001461	-9.492	1	935.148
283	0.484133	-0.004501	-9.937	1	935.890
284	0.479346	-0.004786	-10.460	1	936.514
285	0.475036	-0.004310	-10.892	1	936.999
286	0.472701	-0.002336	-10.897	1	937.369
287	0.471384	-0.001316	-10.675	1	937.740
288	0.470056	-0.001328	-10.452	1	938.171
289	0.466495	-0.003561	-10.731	1	938.666
290	0.460874	-0.005621	-11.488	1	939.086
291	0.458867	-0.002007	-11.441	1	939.301
292	0.455201	-0.003666	-11.776	1	939.530
293	0.452931	-0.002269	-11.799	1	939.668
294	0.452078	-0.000853	-11.497	1	939.800
295	0.451081	-0.000997	-11.223	1	940.014
296	0.448020	-0.003062	-11.426	1	940.304
297	0.447469	-0.000551	-11.048	1	940.538
298	0.445322	-0.002147	-11.037	1	940.878
299	0.442927	-0.002395	-11.087	1	941.222
300	0.442520	-0.000407	-10.669	1	941.554
301	0.439491	-0.003028	-10.867	1	942.004
302	0.438781	-0.000710	-10.517	1	942.400
303	0.436499	-0.002282	-10.538	1	942.897
304	0.434508	-0.001991	-10.492	1	943.391
305	0.433192	-0.001317	-10.283	1	943.900
306	0.432767	-0.000424	-9.853	1	944.471
307	0.429100	-0.003667	-10.207	1	945.172
308	0.425918	-0.003183	-10.455	1	945.772
309	0.424776	-0.001141	-10.207	1	946.300
310	0.423093	-0.001684	-10.090	1	946.904
311	0.421179	-0.001913	-10.029	1	947.546
312	0.418474	-0.002705	-10.166	1	948.209
313	0.415425	-0.003049	-10.396	1	948.833
314	0.411291	-0.004134	-10.908	1	949.390
315	0.409311	-0.001980	-10.891	1	949.795
316	0.407729	-0.001582	-10.773	1	950.207
317	0.406057	-0.001672	-10.678	1	950.655
318	0.400765	-0.005292	-11.512	1	951.133
319	0.400249	-0.000516	-11.139	1	951.361
320	0.399375	-0.000874	-10.851	1	951.702
321	0.398565	-0.000809	-10.540	1	952.131
322	0.395111	-0.003455	-10.914	1	952.657
323	0.392683	-0.002428	-11.031	1	953.070
324	0.390382	-0.002301	-11.120	1	953.447
325	0.382223	-0.008159	-12.763	1	953.797
326	0.381216	-0.001007	-12.551	1	953.648
327	0.380406	-0.000810	-12.282	1	953.561
328	0.378419	-0.001987	-12.324	1	953.553
329	0.376095	-0.002324	-12.459	1	953.530
330	0.374078	-0.002017	-12.517	1	953.465
331	0.371318	-0.002760	-12.779	1	953.380
332	0.370582	-0.000736	-12.500	1	953.213
333	0.369514	-0.001068	-12.306	1	953.129
334	0.364889	-0.004626	-13.083	1	953.104
335	0.364734	-0.000154	-12.652	1	952.837
336	0.364633	-0.000102	-12.198	1	952.699
337	0.363644	-0.000988	-11.980	1	952.701
338	0.360365	-0.003279	-12.396	1	952.771
339	0.359007	-0.001358	-12.287	1	952.707
340	0.351817	-0.007190	-13.812	1	952.676
341	0.350258	-0.001559	-13.793	1	952.167
342	0.348212	-0.002046	-13.912	1	951.660
343	0.345045	-0.003167	-14.353	1	951.111
344	0.344524	-0.000521	-14.054	1	950.422
345	0.344284	-0.000240	-13.670	1	949.820
346	0.343873	-0.000412	-13.327	1	949.332
347	0.340397	-0.003475	-13.857	1	948.948
348	0.340300	-0.000098	-13.429	1	948.392
349	0.339251	-0.001048	-13.267	1	947.967
350	0.338172	-0.001079	-13.111	1	947.590
351	0.336584	-0.001588	-13.101	1	947.258
352	0.330427	-0.006157	-14.429	1	946.925
353	0.330278	-0.000150	-14.028	1	946.166
354	0.328862	-0.001416	-13.992	1	945.528
355	0.325923	-0.002939	-14.406	1	944.895
356	0.324056	-0.001867	-14.515	1	944.126
357	0.321812	-0.002244	-14.739	1	943.316
358	0.321713	-0.000099	-14.330	1	942.429
359	0.320699	-0.001014	-14.187	1	941.665
360	0.318376	-0.002323	-14.435	1	940.940
361	0.316543	-0.001833	-14.544	1	940.130
362	0.314936	-0.001607	-14.587	1	939.279
363	0.313989	-0.000946	-14.433	1	938.407
364	0.310756	-0.003234	-14.973	1	937.578
365	0.309751	-0.001004	-14.846	1	936.568
366	0.308771	-0.000980	-14.711	1	935.592
367	0.308449	-0.000323	-14.372	1	934.652
368	0.307918	-0.000531	-14.091	1	933.816
369	0.307037	-0.000881	-13.912	1	933.065
370	0.305964	-0.001073	-13.791	1	932.368
371	0.305510	-0.000454	-13.476	1	931.705
372	0.304878	-0.000631	-13.209	1	931.143
373	0.303614	-0.001264	-13.137	1	930.666
374	0.300944	-0.002670	-13.506	1	930.210
375	0.300770	-0.000174	-13.098	1	929.621
376	0.298656	-0.002114	-13.297	1	929.167
377	0.297948	-0.000708	-13.055	1	928.639
378	0.295351	-0.002597	-13.412	1	928.190
379	0.294950	-0.000401	-13.076	1	927.611
380	0.292559	-0.002391	-13.373	1	927.144
381	0.291986	-0.000573	-13.092	1	926.566
382	0.289828	-0.002158	-13.320	1	926.082
383	0.288240	-0.001588	-13.370	1	925.511
384	0.286593	-0.001647	-13.442	1	924.917
385	0.285648	-0.000945	-13.289	1	924.290
386	0.280473	-0.005175	-14.523	1	923.711
387	0.278843	-0.001629	-14.620	1	922.689
388	0.275312	-0.003532	-15.350	1	921.624
389	0.274504	-0.000807	-15.195	1	920.298
390	0.273962	-0.000542	-14.950	1	919.015
391	0.272911	-0.001050	-14.870	1	917.808
392	0.270996	-0.001915	-15.079	1	916.619
393	0.270827	-0.000169	-14.708	1	915.347
394	0.269194	-0.001632	-14.823	1	914.196
395	0.266940	-0.002254	-15.152	1	912.995
396	0.266884	-0.000056	-14.745	1	911.669
397	0.266332	-0.000551	-14.499	1	910.476
398	0.264314	-0.002018	-14.748	1	909.362
399	0.262556	-0.001758	-14.915	1	908.149
400	0.261688	-0.000868	-14.783	1	906.866
401	0.261154	-0.000534	-14.534	1	905.621
402	0.260280	-0.000874	-14.398	1	904.455
403	0.258976	-0.001304	-14.409	1	903.330
404	0.257588	-0.001388	-14.451	1	902.191
405	0.255432	-0.002156	-14.763	1	901.027
406	0.254571	-0.000861	-14.632	1	899.737
407	0.252472	-0.002098	-14.932	1	898.486
408	0.252323	-0.000149	-14.557	1	897.113
409	0.251183	-0.001140	-14.522	1	895.868
410	0.250964	-0.000219	-14.163	1	894.625
411	0.250137	-0.000827	-14.012	1	893.508
412	0.249831	-0.000306	-13.674	1	892.438
413	0.247581	-0.002250	-14.023	1	891.488
414	0.246131	-0.001450	-14.095	1	890.394
415	0.244344	-0.001787	-14.293	1	889.262
416	0.243765	-0.000579	-14.061	1	888.043
417	0.242671	-0.001094	-14.011	1	886.904
418	0.241250	-0.001421	-14.080	1	885.773
419	0.240447	-0.000803	-13.928	1	884.604
420	0.239776	-0.000672	-13.725	1	883.485
421	0.236378	-0.003398	-14.519	1	882.435
422	0.235690	-0.000688	-14.337	1	881.062
423	0.235329	-0.000361	-14.031	1	879.748
424	0.234731	-0.000598	-13.808	1	878.543
425	0.233577	-0.001153	-13.786	1	877.417
426	0.230375	-0.003202	-14.529	1	876.289
427	0.228946	-0.001429	-14.630	1	874.851
428	0.227725	-0.001221	-14.657	1	873.361
429	0.227550	-0.000175	-14.292	1	871.848
430	0.226239	-0.001312	-14.349	1	870.467
431	0.224141	-0.002097	-14.706	1	869.051
432	0.223705	-0.000437	-14.443	1	867.479
433	0.221902	-0.001802	-14.695	1	865.999
434	0.220842	-0.001060	-14.671	1	864.404
435	0.219885	-0.000957	-14.609	1	862.804
436	0.218976	-0.000909	-14.528	1	861.216
437	0.217780	-0.001196	-14.557	1	859.647
438	0.216817	-0.000963	-14.499	1	858.053
439	0.216272	-0.000545	-14.278	1	856.468
440	0.214408	-0.001864	-14.567	1	854.961
441	0.214330	-0.000078	-14.167	1	853.320
442	0.213627	-0.000703	-14.003	1	851.831
443	0.212866	-0.000761	-13.860	1	850.398
444	0.211599	-0.001267	-13.913	1	849.012
445	0.210573	-0.001025	-13.874	1	847.590
446	0.210372	-0.000201	-13.509	1	846.171
447	0.208899	-0.001473	-13.641	1	844.896
448	0.208395	-0.000504	-13.392	1	843.551
449	0.207007	-0.001388	-13.492	1	842.301
450	0.206652	-0.000355	-13.181	1	840.994
451	0.205520	-0.001132	-13.177	1	839.812
452	0.204260	-0.001260	-13.226	1	838.619
453	0.202141	-0.002119	-13.627	1	837.390
454	0.200932	-0.001209	-13.671	1	835.966
455	0.198726	-0.002205	-14.125	1	834.509
456	0.197030	-0.001696	-14.383	1	832.833
457	0.196372	-0.000658	-14.224	1	831.027
458	0.195559	-0.000813	-14.125	1	829.274
459	0.194336	-0.001223	-14.195	1	827.550
460	0.193662	-0.000675	-14.041	1	825.777
461	0.192490	-0.001172	-14.091	1	824.057
462	0.191739	-0.000751	-13.968	1	822.297
463	0.191389	-0.000350	-13.676	1	820.576
464	0.190256	-0.001133	-13.707	1	818.973
465	0.189432	-0.000824	-13.609	1	817.339
466	0.189218	-0.000214	-13.253	1	815.734
467	0.187690	-0.001528	-13.446	1	814.280
468	0.186943	-0.000747	-13.313	1	812.719
469	0.185593	-0.001350	-13.436	1	811.204
470	0.185099	-0.000494	-13.198	1	809.613
471	0.183742	-0.001357	-13.325	1	808.120
472	0.182961	-0.000781	-13.210	1	806.549
473	0.182294	-0.000667	-13.043	1	805.016
474	0.180290	-0.002005	-13.455	1	803.548
475	0.176415	-0.003875	-14.696	1	801.861
476	0.175571	-0.000844	-14.647	1	799.563
477	0.172743	-0.002828	-15.468	1	797.268
478	0.171644	-0.001098	-15.551	1	794.571
479	0.169792	-0.001852	-15.970	1	791.815
480	0.169507	-0.000285	-15.708	1	788.848
481	0.169075	-0.000432	-15.507	1	785.975
482	0.168719	-0.000356	-15.268	1	783.172
483	0.167733	-0.000986	-15.304	1	780.455
484	0.167160	-0.000573	-15.158	1	777.699
485	0.166151	-0.001009	-15.205	1	774.988
486	0.165590	-0.000561	-15.054	1	772.231
487	0.164482	-0.001108	-15.145	1	769.523
488	0.163961	-0.000521	-14.976	1	766.748
489	0.162677	-0.001284	-15.147	1	764.029
490	0.162248	-0.000429	-14.939	1	761.205
491	0.162048	-0.000200	-14.624	1	758.456
492	0.161789	-0.000259	-14.328	1	755.836
493	0.160868	-0.000921	-14.326	1	753.336
494	0.160812	-0.000056	-13.932	1	750.814
495	0.159148	-0.001663	-14.261	1	748.466
496	0.158863	-0.000285	-13.971	1	745.928
497	0.158215	-0.000648	-13.841	1	743.512
498	0.157081	-0.001134	-13.932	1	741.138
499	0.156302	-0.000779	-13.864	1	738.694
500	0.155244	-0.001058	-13.924	1	736.260
501	0.153615	-0.001629	-14.252	1	733.771
502	0.153095	-0.000520	-14.075	1	731.088
503	0.152403	-0.000692	-13.975	1	728.470
504	0.150750	-0.001653	-14.323	1	725.878
